filename,class,brand,category,style,color,material,fashion,sku
dior_fw23_31,04_vest,dior,tops,04_vest_sku,beige,velvet,,vest
dior_fw23_31,04_beige,dior,tops,04_beige_color,beige,velvet,,vest
dior_fw23_31,04_velvet,dior,tops,04_velvet_material,beige,velvet,,vest
dior_fw23_31,05_handbag,dior,bags,05_handbag_sku,brown,leather,,handbag
dior_fw23_31,05_brown,dior,bags,05_brown_color,brown,leather,,handbag
dior_fw23_31,05_leather,dior,bags,05_leather_material,brown,leather,,handbag
dior_fw23_31,07_shorts,dior,bottoms,07_shorts_sku,grey,denim,,shorts
dior_fw23_31,07_grey,dior,bottoms,07_grey_color,grey,denim,,shorts
dior_fw23_31,07_denim,dior,bottoms,07_denim_material,grey,denim,,shorts
dior_fw23_31,09_boot,dior,shoes,09_boots_sku,yellow,rubber,,boots
dior_fw23_31,09_yellow,dior,shoes,09_yellow_color,yellow,rubber,,boots
dior_fw23_31,09_rubber,dior,shoes,09_rubber_material,yellow,rubber,,boots
loewe_fw23_25,04_tanktop,loewe,tops,04_tanktop_sku,olive,silk,sleeveless,tanktop
loewe_fw23_25,04_sleeveless,loewe,tops,04_sleeveless_style,olive,silk,sleeveless,tanktop
loewe_fw23_25,04_silk,loewe,tops,04_silk_material,olive,silk,sleeveless,tanktop
loewe_fw23_25,04_olive,loewe,tops,04_olive_color,olive,silk,sleeveless,tanktop
loewe_fw23_25,07_shorts,loewe,bottoms,07_shorts_sku,olive,silk,,shorts
loewe_fw23_25,07_olive,loewe,bottoms,07_olive_color,olive,silk,,shorts
loewe_fw23_25,07_silk,loewe,bottoms,07_silk_material,olive,silk,,shorts
loewe_fw23_25,09_boot,loewe,shoes,09_boots_sku,brown,leather,,boots
loewe_fw23_25,09_brown,loewe,shoes,09_brown_color,brown,leather,,boots
loewe_fw23_25,09_leather,loewe,shoes,09_leather_material,brown,leather,,boots
loewe_fw23_16,4a_coat,loewe,outerwear,4a_coated_style,white,wool,coated,
loewe_fw23_16,4a_white,loewe,outerwear,4a_white_color,white,wool,coated,
loewe_fw23_16,4a_wool,loewe,outerwear,4a_wool_material,white,wool,coated,
loewe_fw23_16,09_derby,loewe,shoes,09_derby_sku,black,leather,,derby
loewe_fw23_16,09_black,loewe,shoes,09_black_color,black,leather,,derby
loewe_fw23_16,09_leather,loewe,shoes,09_leather_material,black,leather,,derby
loewe_fw23_48,04_sweatshirt,loewe,tops,04_sweatshirt_sku,navy,cotton,oversized,sweatshirt
loewe_fw23_48,04_navy,loewe,tops,04_navy_color,navy,cotton,oversized,sweatshirt
loewe_fw23_48,04_cotton,loewe,tops,04_cotton_material,navy,cotton,oversized,sweatshirt
loewe_fw23_48,04_oversized,loewe,tops,04_oversized_style,navy,cotton,oversized,sweatshirt
loewe_fw23_48,07_leggings,loewe,bottoms,07_leggings_sku,black,cotton,,leggings
loewe_fw23_48,07_black,loewe,bottoms,07_black_color,black,cotton,,leggings
loewe_fw23_48,07_cotton,loewe,bottoms,07_cotton_material,black,cotton,,leggings
loewe_fw23_48,07_jersey,loewe,bottoms,07_jersey_material,black,jersey,,leggings
loewe_fw23_48,05_totebag,loewe,bags,05_totebag_sku,beige,leather,,totebag
loewe_fw23_48,05_beige,loewe,bags,05_beige_color,beige,leather,,totebag
loewe_fw23_48,05_leather,loewe,bags,05_leather_material,beige,leather,,totebag
loewe_fw23_48,09_boot,loewe,shoes,09_boots_sku,brown,,hightop,boots
loewe_fw23_48,09_brown,loewe,shoes,09_brown_color,brown,,hightop,boots
loewe_fw23_48,09_leather-,loewe,shoes,04_vest_sku,brown,,hightop,vest
loewe_fw23_48,09_hightop,loewe,shoes,09_hightop_style,brown,,hightop,boots
givenchy_fw23_37,04_vest,givenchy,tops,04_vest_sku,beige,nylon,military,vest
givenchy_fw23_37,04_beige,givenchy,tops,04_beige_color,beige,nylon,military,vest
givenchy_fw23_37,04_grey,givenchy,tops,04_grey_color,grey,nylon,military,vest
givenchy_fw23_37,04_nylon,givenchy,tops,04_nylon_material,beige,nylon,military,vest
givenchy_fw23_37,04_military,givenchy,tops,04_military_style,beige,nylon,military,vest
givenchy_fw23_37,07_pants,givenchy,bottoms,07_pants_sku,grey,,cargo,pants
givenchy_fw23_37,07_grey,givenchy,bottoms,07_grey_color,grey,,cargo,pants
givenchy_fw23_37,07_beige,givenchy,bottoms,07_beige_color,beige,,cargo,pants
givenchy_fw23_37,07mili,givenchy,,04_vest_sku,,,,vest
givenchy_fw23_37,07_cargo,givenchy,bottoms,07_cargo_style,grey,,cargo,pants
givenchy_fw23_37,09_boot,givenchy,shoes,09_boots_sku,beige,rubber,,boots
givenchy_fw23_37,09_beige,givenchy,shoes,09_beige_color,beige,rubber,,boots
givenchy_fw23_37,09_rubber,givenchy,shoes,09_rubber_material,beige,rubber,,boots
givenchy_fw23_32,04_sweatshirt,givenchy,tops,04_sweatshirt_sku,grey,silk,sheer,sweatshirt
givenchy_fw23_32,04_sheer,givenchy,tops,04_sheer_style,grey,silk,sheer,sweatshirt
givenchy_fw23_32,04_grey,givenchy,tops,04_grey_color,grey,silk,sheer,sweatshirt
givenchy_fw23_32,04_silk,givenchy,tops,04_silk_material,grey,silk,sheer,sweatshirt
givenchy_fw23_32,07_pants,givenchy,bottoms,07_pants_sku,grey,cotton,,pants
givenchy_fw23_32,07_grey,givenchy,bottoms,07_grey_color,grey,cotton,,pants
givenchy_fw23_32,07_cotton,givenchy,bottoms,07_cotton_material,grey,cotton,,pants
givenchy_fw23_32,04_distressed,givenchy,tops,04_distressed_style,grey,silk,distressed,sweatshirt
givenchy_fw23_32,09_boot,givenchy,shoes,09_boots_sku,black,rubber,,boots
givenchy_fw23_32,09_black,givenchy,shoes,09_black_color,black,rubber,,boots
givenchy_fw23_32,09_rubber,givenchy,shoes,09_rubber_material,black,rubber,,boots
loewe_fw23_38,4a_coat,loewe,outerwear,4a_coated_style,grey,wool,coated,
loewe_fw23_38,4a_grey,loewe,outerwear,4a_grey_color,grey,wool,coated,
loewe_fw23_38,4a_wool,loewe,outerwear,4a_wool_material,grey,wool,coated,
loewe_fw23_38,4a_oversized,loewe,outerwear,4a_oversized_style,grey,wool,oversized,
loewe_fw23_38,07_shorts,loewe,bottoms,07_shorts_sku,beige,,,shorts
loewe_fw23_38,07_beige,loewe,bottoms,07_beige_color,beige,,,shorts
loewe_fw23_38,09_derby,loewe,shoes,09_derby_sku,black,leather,,derby
loewe_fw23_38,09_black,loewe,shoes,09_black_color,black,leather,,derby
loewe_fw23_38,09_leather,loewe,shoes,09_leather_material,black,leather,,derby
loewe_fw23_28,4a_coat,loewe,outerwear,4a_coated_style,beige,velours,coated,
loewe_fw23_28,4a_beige,loewe,outerwear,4a_beige_color,beige,velours,coated,
loewe_fw23_28,4a_velours,loewe,outerwear,4a_velours_material,beige,velours,coated,
loewe_fw23_28,07_pants,loewe,bottoms,07_pants_sku,grey,cotton,,pants
loewe_fw23_28,07_grey,loewe,bottoms,07_grey_color,grey,cotton,,pants
loewe_fw23_28,07_cotton,loewe,bottoms,07_cotton_material,grey,cotton,,pants
loewe_fw23_28,07_jersey,loewe,bottoms,07_jersey_material,grey,jersey,,pants
loewe_fw23_28,09_boot,loewe,shoes,09_boots_sku,brown,leather,,boots
loewe_fw23_28,09_brown,loewe,shoes,09_brown_color,brown,leather,,boots
loewe_fw23_28,09_leather,loewe,shoes,09_leather_material,brown,leather,,boots
saint_laurent_fw23_08,09_boot,saint_laurent,shoes,09_boots_sku,black,leather,,boots
saint_laurent_fw23_08,09_leather,saint_laurent,shoes,09_leather_material,black,leather,,boots
saint_laurent_fw23_08,09_black,saint_laurent,shoes,09_black_color,black,leather,,boots
saint_laurent_fw23_08,07_pants,saint_laurent,bottoms,07_pants_sku,black,wool,,pants
saint_laurent_fw23_08,04_coat,saint_laurent,tops,04_coat_sku,black,cashmere,,coat
saint_laurent_fw23_08,04_knitwear,saint_laurent,tops,04_knitwear_sku,black,cashmere,,knitwear
saint_laurent_fw23_08,02_sunglasses,saint_laurent,eyewear,02_sunglasses_sku,,,,sunglasses
saint_laurent_fw23_08,07_black,saint_laurent,bottoms,07_black_color,black,wool,,pants
saint_laurent_fw23_08,07_wool,saint_laurent,bottoms,07_wool_material,black,wool,,pants
saint_laurent_fw23_08,04_cashmere,saint_laurent,tops,04_cashmere_material,black,cashmere,,coat
saint_laurent_fw23_08,04_black,saint_laurent,tops,04_black_color,black,cashmere,,coat
saint_laurent_fw23_08,04_camel,saint_laurent,tops,04_camel_color,camel,cashmere,,coat
loewe_fw23_35,4a_coat,loewe,outerwear,4a_coated_style,black,leather,coated,
loewe_fw23_35,4a_black,loewe,outerwear,4a_black_color,black,leather,coated,
loewe_fw23_35,4a_leather,loewe,outerwear,4a_leather_material,black,leather,coated,
loewe_fw23_35,4a_oversized,loewe,outerwear,4a_oversized_style,black,leather,oversized,
loewe_fw23_35,04_overall,loewe,tops,04_overall_sku,black,cotton,,overall
loewe_fw23_35,04_black,loewe,tops,04_black_color,black,cotton,,overall
loewe_fw23_35,04_cotton,loewe,tops,04_cotton_material,black,cotton,,overall
loewe_fw23_35,05_handbag,loewe,bags,05_handbag_sku,,leather,,handbag
loewe_fw23_35,05_leather,loewe,bags,05_leather_material,,leather,,handbag
loewe_fw23_35,05_leather,loewe,bags,05_leather_material,,leather,,handbag
loewe_fw23_35,09_derby,loewe,shoes,09_derby_sku,black,leather,,derby
loewe_fw23_35,09_black,loewe,shoes,09_black_color,black,leather,,derby
loewe_fw23_35,09_leather,loewe,shoes,09_leather_material,black,leather,,derby
givenchy_fw23_50,4a_jacket,givenchy,outerwear,4a_jacket,beige,wool,,
givenchy_fw23_50,4a_beige,givenchy,outerwear,4a_beige_color,beige,wool,,
givenchy_fw23_50,4a_wool,givenchy,outerwear,4a_wool_material,beige,wool,,
givenchy_fw23_50,07_pants,givenchy,bottoms,07_pants_sku,beige,leather,cutout,pants
givenchy_fw23_50,01_beige,givenchy,hats,01_beige_color,beige,,,
givenchy_fw23_50,07_beige,givenchy,bottoms,07_beige_color,beige,leather,cutout,pants
givenchy_fw23_50,07_cutout,givenchy,bottoms,07_cutout_style,beige,leather,cutout,pants
givenchy_fw23_50,09_sneaker,givenchy,shoes,09_sneaker_sku,,,,sneaker
givenchy_fw23_50,07_white,givenchy,bottoms,07_white_color,white,leather,cutout,pants
givenchy_fw23_50,07_leather,givenchy,bottoms,07_leather_material,beige,leather,cutout,pants
dior_fw23_03,4a_jacket,dior,outerwear,4a_jacket,beige,cashmere,floral,
dior_fw23_03,4a_beige,dior,outerwear,4a_beige_color,beige,cashmere,floral,
dior_fw23_03,4a_embroidered,dior,outerwear,4a_embroidered,beige,cashmere,floral,
dior_fw23_03,4a_floral,dior,outerwear,4a_floral_style,beige,cashmere,floral,
dior_fw23_03,4a_cashmere,dior,outerwear,4a_cashmere_material,beige,cashmere,floral,
dior_fw23_03,07_skirt,dior,bottoms,07_skirt_sku,beige,wool,,skirt
dior_fw23_03,07_beige,dior,bottoms,07_beige_color,beige,wool,,skirt
dior_fw23_03,07_wool,dior,bottoms,07_wool_material,beige,wool,,skirt
dior_fw23_03,05_handbag,dior,bags,05_handbag_sku,beige,leather,print,handbag
dior_fw23_03,05_beige,dior,bags,05_beige_color,beige,leather,print,handbag
dior_fw23_03,05_leather,dior,bags,05_leather_material,beige,leather,print,handbag
dior_fw23_03,05_print,dior,bags,05_print_style,beige,leather,print,handbag
dior_fw23_03,09_boot,dior,shoes,09_boots_sku,brown,leather,hightop,boots
dior_fw23_03,09_brown,dior,shoes,09_brown_color,brown,leather,hightop,boots
dior_fw23_03,09_hightop,dior,shoes,09_hightop_style,brown,leather,hightop,boots
dior_fw23_03,09_leather,dior,shoes,09_leather_material,brown,leather,hightop,boots
dior_fw23_11,04_shirt,dior,tops,04_shirt_sku,,,,shirt
dior_fw23_11,07_striped,dior,bottoms,07_striped_style,blue,cotton,striped,pants
dior_fw23_11,07_blue,dior,bottoms,07_blue_color,blue,cotton,striped,pants
dior_fw23_11,07_cotton,dior,bottoms,07_cotton_material,blue,cotton,striped,pants
dior_fw23_11,4a_coat,dior,outerwear,4a_coated_style,beige,,coated,
dior_fw23_11,4a_beige,dior,outerwear,4a_beige_color,beige,,coated,
dior_fw23_11,4a_coated,dior,outerwear,4a_coated_style,beige,,coated,
dior_fw23_11,07_grey,dior,bottoms,07_grey_color,grey,cotton,striped,pants
dior_fw23_11,07_pants,dior,bottoms,07_pants_sku,blue,cotton,striped,pants
dior_fw23_11,07_wool,dior,bottoms,07_wool_material,blue,wool,striped,pants
dior_fw23_11,07_loosefit,dior,bottoms,07_loosefit_style,blue,cotton,loosefit,pants
dior_fw23_11,09_boot,dior,shoes,09_boots_sku,black,rubber,,boots
dior_fw23_11,09_black,dior,shoes,09_black_color,black,rubber,,boots
dior_fw23_11,09_rubber,dior,shoes,09_rubber_material,black,rubber,,boots
dior_fw23_05,04_sweater,dior,tops,04_sweater_sku,beige,cashmere,embroidered,sweater
